Test Name,Preset Picture,ABC,Lux,MDD,Avg Luminance (Nits),Power Limit (W),Avg Power (W),Power/Power Limit
default,aps,off,,off,1.5,,3.0,
default_100,aps,on,100.0,off,1.5,,3.0,
default_35,aps,on,35.0,off,1.5,,3.0,
default_12,aps,on,12.0,off,1.5,,3.0,
default_3,aps,on,3.0,off,1.5,,3.0,
default_measured,,,,,1.5,38.8,3.0,0.1
brightest,vivid,off,,off,1.8,,3.6,
brightest_100,vivid,on,100.0,off,1.8,,3.6,
brightest_35,vivid,on,35.0,off,1.8,,3.6,
brightest_12,vivid,on,12.0,off,1.8,,3.6,
brightest_3,vivid,on,3.0,off,1.8,,3.6,
brightest_measured,,,,,1.8,33.9,3.6,0.1
average_measured,,,,,,,,0.1
